Name,Designation,Salary,Dept,Training,Papers Published,Gender
Sheela,Professor,150000,CSE,23,5,F
Kalpana,Assistant Professor,100000,CSE,12,2,F
Mithra,Assosciate Professor,50000,CSE,19,3,F
Deepak,Professor,300000,CSE,20,6,M
Sooraj,Assistant Professor,60000,CSE,4,2,M
Kamal,Assistant Professor,40000,ISE,6,1,M
Sowmya,Assistant Professor,50000,ISE,9,3,F
Roshan,Assosciate Professor,80000,ISE,11,5,M
Nikila,Assosciate Professor,120000,ISE,15,6,F
Pranila,Assistant Professor,45000,ISE,1,8,F
Vasanth,Professor,150000,CSE,6,5,M
